Gauss Elimination
Seed;1157158390
Number of replications for each size of matrix;10
Minimum matrix size;3;Maximum matrix size;10
Zero probability;0.250000
Minimum possible generated value;-0.500000;Maximum possible generated value;0.500000
Data type of generated values;Double
Matrix size;3.000000;4.000000;5.000000;6.000000;7.000000;8.000000;9.000000;10.000000;
Average time;2.2599999999999995e-06;2.43e-06;4.6600000000000003e-06;3.9299999999999996e-06;5.0600000000000007e-06;8.1700000000000014e-06;8.4300000000000006e-06;1.0459999999999998e-05;
95% Confidence interval (lower limit);1.7571454992854396e-06;2.3244507697801656e-06;4.2960047863562538e-06;3.7991701019559231e-06;4.9666853352003878e-06;6.5505633846577691e-06;8.328575391984478e-06;1.0263564927322559e-05;
95% Confidence interval (upper limit);2.7628545007145595e-06;2.5355492302198345e-06;5.0239952136437467e-06;4.0608298980440762e-06;5.1533146647996136e-06;9.7894366153422328e-06;8.5314246080155232e-06;1.0656435072677437e-05;

