LU Decomposition;;;;;;;;
Seed;3036463056;;;;;;;
Number of replications for each size of matrix;100;;;;;;;
Minimum matrix size;3;Maximum matrix size;10;;;;;
Zero probability;0;;;;;;;
Minimum possible generated value;-100;Maximum possible generated value;100;;;;;
Data type of generated values;Double;;;;;;;
Matrix size;3;4;5;6;7;8;9;10
Average time;4,48E-07;1,70E-06;1,88E-06;8,42E-07;1,02E-06;2,22E-06;2,32E-06;2,59E-06
95% Confidence interval (lower limit);4,27E-07;1,65E-06;1,81E-06;8,15E-07;9,82E-07;2,18E-06;2,29E-06;2,55E-06
95% Confidence interval (upper limit);4,69E-07;1,74E-06;1,95E-06;8,69E-07;1,06E-06;2,27E-06;2,35E-06;2,62E-06
;;;;;;;;
LU Decomposition;;;;;;;;
Seed;3036463056;;;;;;;
Number of replications for each size of matrix;100;;;;;;;
Minimum matrix size;3;Maximum matrix size;10;;;;;
Zero probability;0,25;;;;;;;
Minimum possible generated value;-100;Maximum possible generated value;100;;;;;
Data type of generated values;Double;;;;;;;
Matrix size;3;4;5;6;7;8;9;10
Average time;4,48E-07;2,03E-06;2,37E-06;9,41E-07;1,12E-06;2,26E-06;2,49E-06;2,65E-06
95% Confidence interval (lower limit);4,23E-07;1,90E-06;2,25E-06;8,95E-07;1,06E-06;2,22E-06;2,39E-06;2,62E-06
95% Confidence interval (upper limit);4,73E-07;2,17E-06;2,49E-06;9,87E-07;1,17E-06;2,29E-06;2,58E-06;2,68E-06
;;;;;;;;
LU Decomposition;;;;;;;;
Seed;3036463056;;;;;;;
Number of replications for each size of matrix;100;;;;;;;
Minimum matrix size;3;Maximum matrix size;10;;;;;
Zero probability;0,5;;;;;;;
Minimum possible generated value;-100;Maximum possible generated value;100;;;;;
Data type of generated values;Double;;;;;;;
Matrix size;3;4;5;6;7;8;9;10
Average time;4,19E-07;1,76E-06;1,95E-06;8,85E-07;1,06E-06;2,42E-06;2,42E-06;2,76E-06
95% Confidence interval (lower limit);3,83E-07;1,65E-06;1,85E-06;8,54E-07;1,02E-06;2,25E-06;2,38E-06;2,69E-06
95% Confidence interval (upper limit);4,55E-07;1,86E-06;2,06E-06;9,16E-07;1,09E-06;2,58E-06;2,46E-06;2,83E-06
;;;;;;;;
LU Decomposition;;;;;;;;
Seed;3036463056;;;;;;;
Number of replications for each size of matrix;100;;;;;;;
Minimum matrix size;3;Maximum matrix size;10;;;;;
Zero probability;0,75;;;;;;;
Minimum possible generated value;-100;Maximum possible generated value;100;;;;;
Data type of generated values;Double;;;;;;;
Matrix size;3;4;5;6;7;8;9;10
Average time;3,45E-07;2,06E-06;2,11E-06;1,15E-06;9,13E-07;2,11E-06;2,29E-06;2,42E-06
95% Confidence interval (lower limit);3,14E-07;1,76E-06;2,05E-06;1,10E-06;8,52E-07;2,07E-06;2,18E-06;2,36E-06
95% Confidence interval (upper limit);3,76E-07;2,35E-06;2,18E-06;1,20E-06;9,74E-07;2,16E-06;2,41E-06;2,47E-06
