Gauss Elimination;;;;;;;;
Seed;3036463056;;;;;;;
Number of replications for each size of matrix;100;;;;;;;
Minimum matrix size;3;Maximum matrix size;10;;;;;
Zero probability;0;;;;;;;
Minimum possible generated value;-100;Maximum possible generated value;100;;;;;
Data type of generated values;Double;;;;;;;
Matrix size;3;4;5;6;7;8;9;10
Average time;2,99E-07;5,05E-07;6,43E-07;9,00E-07;1,31E-06;1,79E-06;2,30E-06;3,19E-06
95% Confidence interval (lower limit);2,85E-07;4,01E-07;6,14E-07;8,77E-07;1,27E-06;1,73E-06;2,28E-06;3,07E-06
95% Confidence interval (upper limit);3,13E-07;6,09E-07;6,72E-07;9,23E-07;1,34E-06;1,84E-06;2,33E-06;3,30E-06
;;;;;;;;
Gauss Elimination;;;;;;;;
Seed;3036463056;;;;;;;
Number of replications for each size of matrix;100;;;;;;;
Minimum matrix size;3;Maximum matrix size;10;;;;;
Zero probability;0,25;;;;;;;
Minimum possible generated value;-100;Maximum possible generated value;100;;;;;
Data type of generated values;Double;;;;;;;
Matrix size;3;4;5;6;7;8;9;10
Average time;2,76E-07;5,00E-07;6,69E-07;9,40E-07;1,38E-06;1,88E-06;2,51E-06;3,40E-06
95% Confidence interval (lower limit);2,60E-07;4,79E-07;6,50E-07;9,22E-07;1,35E-06;1,85E-06;2,48E-06;3,34E-06
95% Confidence interval (upper limit);2,92E-07;5,21E-07;6,88E-07;9,58E-07;1,40E-06;1,91E-06;2,54E-06;3,46E-06
;;;;;;;;
Gauss Elimination;;;;;;;;
Seed;3036463056;;;;;;;
Number of replications for each size of matrix;100;;;;;;;
Minimum matrix size;3;Maximum matrix size;10;;;;;
Zero probability;0,5;;;;;;;
Minimum possible generated value;-100;Maximum possible generated value;100;;;;;
Data type of generated values;Double;;;;;;;
Matrix size;3;4;5;6;7;8;9;10
Average time;2,47E-07;4,06E-07;8,66E-07;1,03E-06;1,50E-06;2,10E-06;2,82E-06;3,85E-06
95% Confidence interval (lower limit);2,23E-07;3,82E-07;5,33E-07;9,91E-07;1,46E-06;2,07E-06;2,77E-06;3,80E-06
95% Confidence interval (upper limit);2,71E-07;4,30E-07;1,20E-06;1,06E-06;1,54E-06;2,13E-06;2,88E-06;3,91E-06
;;;;;;;;
Gauss Elimination;;;;;;;;
Seed;3036463056;;;;;;;
Number of replications for each size of matrix;100;;;;;;;
Minimum matrix size;3;Maximum matrix size;10;;;;;
Zero probability;0,75;;;;;;;
Minimum possible generated value;-100;Maximum possible generated value;100;;;;;
Data type of generated values;Double;;;;;;;
Matrix size;3;4;5;6;7;8;9;10
Average time;1,14E-07;2,28E-07;3,31E-07;5,64E-07;7,59E-07;1,43E-06;1,61E-06;2,41E-06
95% Confidence interval (lower limit);9,41E-08;1,92E-07;2,83E-07;5,03E-07;6,70E-07;1,11E-06;1,46E-06;2,22E-06
95% Confidence interval (upper limit);1,34E-07;2,64E-07;3,79E-07;6,25E-07;8,48E-07;1,74E-06;1,76E-06;2,60E-06
